,건축년도,주택유형,본번,부번,층,도로명,단지명,전용면적...,시군구
122,1989,아파트,28,0,4,중부대로223번길 92,우만주공2단지,45.77,경기도 수원시 팔달구 우만동
123,1989,아파트,28,0,4,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
124,1989,아파트,28,0,4,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
125,1989,아파트,28,0,5,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
126,1989,아파트,28,0,5,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
127,1989,아파트,28,0,5,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
128,1989,아파트,28,0,6,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
129,1989,아파트,28,0,6,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
130,1989,아파트,28,0,7,중부대로223번길 54-13,우만주공2단지,61.52,경기도 수원시 팔달구 우만동
131,1989,아파트,28,0,7,중부대로223번길 92,우만주공2단지,41.3,경기도 수원시 팔달구 우만동
132,1989,아파트,28,0,7,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
133,1989,아파트,28,0,7,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
134,1989,아파트,28,0,8,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
135,1989,아파트,28,0,8,중부대로223번길 92,우만주공2단지,41.3,경기도 수원시 팔달구 우만동
136,1989,아파트,28,0,8,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
137,1989,아파트,28,0,9,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
138,1989,아파트,28,0,9,중부대로223번길 92,우만주공2단지,41.3,경기도 수원시 팔달구 우만동
139,1989,아파트,28,0,9,중부대로223번길 92,우만주공2단지,45.77,경기도 수원시 팔달구 우만동
140,1989,아파트,28,0,9,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
141,1989,아파트,28,0,9,중부대로223번길 92,우만주공2단지,59.39,경기도 수원시 팔달구 우만동
142,1989,아파트,28,0,10,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
143,1989,아파트,28,0,10,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
144,1989,아파트,28,0,11,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동
145,1989,아파트,28,0,11,중부대로223번길 54-13,우만주공2단지,61.52,경기도 수원시 팔달구 우만동
146,1989,아파트,28,0,11,중부대로223번길 92,우만주공2단지,41.3,경기도 수원시 팔달구 우만동
147,1989,아파트,28,0,11,중부대로223번길 92,우만주공2단지,45.77,경기도 수원시 팔달구 우만동
148,1989,아파트,28,0,11,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
149,1989,아파트,28,0,12,중부대로223번길 92,우만주공2단지,45.77,경기도 수원시 팔달구 우만동
150,1989,아파트,28,0,12,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
151,1989,아파트,28,0,12,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
152,1989,아파트,28,0,13,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동
153,1989,아파트,28,0,13,중부대로223번길 54-13,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
154,1989,아파트,28,0,13,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
155,1989,아파트,28,0,13,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
156,1989,아파트,28,0,14,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동
157,1989,아파트,28,0,14,중부대로223번길 92,우만주공2단지,49.94,경기도 수원시 팔달구 우만동
158,1989,아파트,28,0,14,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동
