,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,본번,부번,offiNm,sggCd,sggNm.x,umdNm.x
252,11500,12000,104.3478261,2004,37.28,8,1036,6,인계 오피앙 오피스텔,41115,수원시 팔달구,인계동
253,12800,2000,15.625,2004,38.12,6,1036,6,인계 오피앙 오피스텔,41115,수원시 팔달구,인계동
254,12800,11000,85.9375,2004,38.12,13,1036,6,인계 오피앙 오피스텔,41115,수원시 팔달구,인계동
255,15000,14500,96.66666667,2004,42.8,5,1013,1,세종그랑시아,41113,수원시 권선구,권선동
256,16700,15690,93.95209581,2004,42.8,6,1013,1,세종그랑시아,41113,수원시 권선구,권선동
257,16000,1333.333333,8.333333333,2004,42.8,8,1013,1,세종그랑시아,41113,수원시 권선구,권선동
258,15300,15450,100.9803922,2004,42.8,12,1013,1,세종그랑시아,41113,수원시 권선구,권선동
259,11200,13300,118.75,2004,44.46,2,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
260,13800,10725,77.7173913,2004,44.46,3,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
261,12600,1000,7.936507937,2004,44.46,4,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
262,12600,5166.666667,41.00529101,2004,44.46,6,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
263,13200,13033.33333,98.73737374,2004,44.46,7,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
264,15000,13250,88.33333333,2004,44.46,8,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
265,14000,9366.666667,66.9047619,2004,44.46,9,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
266,12300,6800,55.28455285,2004,44.46,12,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
267,13000,1000,7.692307692,2004,44.46,13,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
268,12800,1000,7.8125,2004,44.46,15,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
269,13100,500,3.816793893,2004,46.08,12,1023,1,메가플러스4,41117,수원시 영통구,영통동
270,13300,13650,102.6315789,2004,46.2,12,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
271,14850,500,3.367003367,2004,46.8,5,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
272,13800,14500,105.0724638,2004,46.8,6,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
273,13900,16500,118.705036,2004,46.8,8,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
274,9600,14200,147.9166667,2004,47.88,2,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
275,13800,5500,39.85507246,2004,47.88,4,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
276,14100,14100,100,2004,47.88,6,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
277,12800,1000,7.8125,2004,47.88,7,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
278,12550,1000,7.96812749,2004,47.88,13,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
279,15500,17300,111.6129032,2004,58.55,2,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
280,18800,18750,99.73404255,2004,58.55,3,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
281,18000,1000,5.555555556,2004,58.55,5,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
282,19200,18800,97.91666667,2004,58.55,7,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
283,16166.66667,16100,99.58762887,2004,60.06,2,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
284,14550,13660,93.88316151,2004,60.06,3,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
285,14850,15575,104.8821549,2004,60.06,5,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
286,14650,12000,81.9112628,2004,60.06,7,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
287,17600,16270,92.44318182,2004,60.06,9,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
288,15400,17000,110.3896104,2004,60.06,10,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
289,17700,11700,66.10169492,2004,60.06,12,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
290,16500,1000,6.060606061,2004,60.06,15,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
291,14200,7000,49.29577465,2004,64.68,2,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
292,15300,2000,13.07189542,2004,64.68,9,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
293,16000,16500,103.125,2004,64.68,10,1131,1,마이홈 오피스텔,41115,수원시 팔달구,인계동
294,17600,18782.75,106.7201705,2004,68.08,4,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
295,20150,12590,62.48138958,2004,68.08,6,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
296,19862.5,15513.33333,78.10362912,2004,68.08,7,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
297,19014.28571,14751.07143,77.57888805,2004,68.08,8,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
298,18150,18253.125,100.5681818,2004,68.08,8,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
299,20350,14957.5,73.5012285,2004,68.08,9,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
300,19433.33333,16400,84.39108062,2004,68.08,10,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
301,18700,15152.5,81.02941176,2004,68.08,11,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
302,18000,12575,69.86111111,2004,71.61,2,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
303,19600,16516.66667,84.26870748,2004,71.61,2,1011,14,올림픽공원대우미래사랑 101동,41113,수원시 권선구,권선동
304,20600,17482,84.86407767,2004,71.61,3,1011,10,올림픽공원대우미래사랑102동,41113,수원시 권선구,권선동
