buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,offiNm,sggCd,sggNm,slerGbn,umdNm,지역구명,본번,부번
2020, , , ,101730.0,26,1,2021, , ,84.6706,28,1017-4,포레나 광교,41117,수원시 영통구, ,하동,수원시 영통구,1017,4
2015, , , ,12000.0,17,1,2021, , ,21.19,9,1258-1,킴앤코 시티하임II,41117,수원시 영통구, ,이의동,수원시 영통구,1258,1
2018, , , ,16000.0,22,1,2021, , ,21.58,9,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2015, , , ,31700.0,29,1,2021, , ,36.78,14,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2014, , , ,32000.0,12,1,2021, , ,46.91,8,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2014, , , ,53000.0,5,1,2021, , ,62.99,7,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2014, , , ,17450.0,16,1,2021, , ,30.9053,12,1351,광교 경동 해피리움,41117,수원시 영통구, ,이의동,수원시 영통구,1351,0
2015, , , ,14000.0,30,1,2021, , ,22.62,7,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2015, , , ,14250.0,14,1,2021, , ,22.62,12,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2018, , , ,34000.0,26,1,2021, , ,38.65,14,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2015, , , ,13500.0,19,1,2021, , ,22.62,6,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2015, , , ,95000.0,16,1,2021, , ,117.71,29,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구,1014,0
2019, , , ,93000.0,15,1,2021, , ,84.9287,9,589,광교중흥에스클래스,41117,수원시 영통구, ,원천동,수원시 영통구,589,0
2015, , , ,14000.0,19,1,2021, , ,22.62,9,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
 , , , ,59500.0,2,1,2021, , ,59.56,17,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구,1019,0
2000, , , ,7500.0,29,1,2021, , ,31.7,6,958-2,훼미리타워,41117,수원시 영통구, ,영통동,수원시 영통구,958,2
 , , , ,62500.0,21,1,2021, , ,58.08,25,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구,1019,0
2018, , , ,16500.0,18,1,2021, , ,22.83,10,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2014, ,21.04.01,O,52500.0,9,1,2021, , ,62.99,8,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2018, , , ,36900.0,25,1,2021, , ,38.65,14,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2006, , , ,34500.0,14,1,2021, , ,91.0484,12,296-6,수원영통 아크로파크,41117,수원시 영통구, ,원천동,수원시 영통구,296,6
2015, , , ,30800.0,26,1,2021, , ,39.31,16,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2015, , , ,14200.0,14,1,2021, , ,22.62,10,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
 , , , ,59800.0,9,1,2021, , ,58.08,26,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구,1019,0
1999, , , ,13000.0,26,1,2021, , ,18.74,6,998-2,르네상스 시티프라자,41117,수원시 영통구, ,영통동,수원시 영통구,998,2
2018, ,21.01.28,O,12000.0,28,1,2021, , ,20.43,15,1351-6,광교유니코어,41117,수원시 영통구, ,이의동,수원시 영통구,1351,6
2013, , , ,12500.0,26,1,2021, , ,26.679,9,1258-3,광교 파인렉스1,41117,수원시 영통구, ,이의동,수원시 영통구,1258,3
2015, , , ,11550.0,19,1,2021, , ,22.18,6,1258-1,킴앤코 시티하임II,41117,수원시 영통구, ,이의동,수원시 영통구,1258,1
2019, , , ,32000.0,6,1,2021, , ,43.85,17,1016,광교 효성해링턴 타워,41117,수원시 영통구, ,하동,수원시 영통구,1016,0
2013, , , ,13600.0,16,1,2021, , ,28.83,8,1257-3,Eastern Tower,41117,수원시 영통구, ,이의동,수원시 영통구,1257,3
2005, ,21.03.09,O,16000.0,23,1,2021, , ,61.71,11,318-2,신동아파라디움오피스텔,41117,수원시 영통구, ,원천동,수원시 영통구,318,2
2018, , , ,94000.0,8,1,2021, , ,84.9967,12,593,광교아이파크,41117,수원시 영통구, ,원천동,수원시 영통구,593,0
2018, , , ,92800.0,15,1,2021, , ,84.95,15,593,광교아이파크,41117,수원시 영통구, ,원천동,수원시 영통구,593,0
2015, , , ,31800.0,19,1,2021, , ,41.91,17,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2013, , , ,12350.0,25,1,2021, , ,24.2753,13,1351-2,광교 코아루에스,41117,수원시 영통구, ,이의동,수원시 영통구,1351,2
2014, , , ,14000.0,11,1,2021, , ,24.97,13,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2003, , , ,10970.0,19,1,2021, , ,31.28,9,1024-14,경희유니빌,41117,수원시 영통구, ,영통동,수원시 영통구,1024,14
2000, , , ,6500.0,16,1,2021, , ,29.27,11,958-2,훼미리타워,41117,수원시 영통구, ,영통동,수원시 영통구,958,2
2014, , , ,43000.0,19,1,2021, , ,62.99,6,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2015, , , ,19700.0,20,1,2021, , ,28.92,6,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2018, , , ,17300.0,17,1,2021, , ,22.83,5,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2014, , , ,35000.0,9,1,2021, , ,46.91,9,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2006, , , ,34500.0,16,1,2021, , ,116.99,9,945-2,수원영통리슈빌스카이오피스텔,41117,수원시 영통구, ,영통동,수원시 영통구,945,2
 , , , ,45000.0,19,1,2021, , ,48.61,8,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구,1019,0
 , , , ,40500.0,16,1,2021, , ,48.61,6,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구,1019,0
 , , , ,46000.0,16,1,2021, , ,48.61,19,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구,1019,0
2015, , , ,21000.0,20,1,2021, , ,28.92,8,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2015, , , ,24000.0,20,1,2021, , ,31.33,16,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2015, , , ,20200.0,20,1,2021, , ,30.28,8,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2014, , , ,9700.0,21,1,2021, , ,16.803,5,1349,광교 더로프트,41117,수원시 영통구, ,이의동,수원시 영통구,1349,0
2015, , , ,82000.0,9,1,2021, , ,84.83,26,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구,1014,0
2014, , , ,12900.0,2,1,2021, , ,24.97,10,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2018, , , ,15800.0,16,1,2021, , ,22.83,4,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
 , , , ,42300.0,16,1,2021, , ,48.61,7,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구,1019,0
2015, , , ,27500.0,9,1,2021, , ,34.32,15,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2015, , , ,14800.0,16,1,2021, , ,22.62,13,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2018, , , ,13800.0,14,1,2021, , ,20.43,4,1351-6,광교유니코어,41117,수원시 영통구, ,이의동,수원시 영통구,1351,6
2015, , , ,20000.0,15,1,2021, , ,28.92,10,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2014, , , ,14000.0,15,1,2021, , ,24.97,5,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
2015, , , ,13900.0,19,1,2021, , ,22.62,6,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2015, , , ,25800.0,7,1,2021, , ,34.06,15,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2014, , , ,14500.0,16,1,2021, , ,24.97,3,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
 , , , ,79500.0,9,1,2021, , ,83.6622,42,604,광교 더샵,41117,수원시 영통구, ,원천동,수원시 영통구,604,0
2006, , , ,29000.0,11,1,2021, , ,90.9115,11,296-6,수원영통 아크로파크,41117,수원시 영통구, ,원천동,수원시 영통구,296,6
2018, , , ,15800.0,19,1,2021, , ,21.58,11,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2015, , , ,23500.0,15,1,2021, , ,31.17,12,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구,1338,0
2018, , , ,17000.0,16,1,2021, , ,21.58,8,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구,1336,1
2015, , , ,75000.0,16,1,2021, , ,84.68,9,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구,1014,0
2015, , , ,85000.0,15,1,2021, , ,84.83,22,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구,1014,0
2015, , , ,70000.0,6,1,2021, , ,84.83,2,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구,1014,0
2014, , , ,33500.0,7,1,2021, , ,46.91,2,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구,1352,0
