,건축년도,보증금.만원.,거래금액.만원.,전세가율,주택유형,본번,부번,층,도로명,단지명,전용면적,시군구,동,편차,전용면적_그룹,평균 전세가율
101,1988,12368.33333,49540,24.96635715,아파트,28,0,1,중부대로223번길 102,우만주공1단지,47.25,경기도 수원시 팔달구 우만동,우만동,-18.4149668,중형,43.38132395
102,1988,11538.16667,42266.66667,27.29850158,아파트,28,0,2,중부대로223번길 102,우만주공1단지,38.52,경기도 수원시 팔달구 우만동,우만동,-16.08282237,중형,43.38132395
103,1988,13828.63636,50000,27.65727273,아파트,28,0,2,중부대로223번길 102,우만주공1단지,47.25,경기도 수원시 팔달구 우만동,우만동,-15.72405122,중형,43.38132395
104,1988,12163.63636,53000,22.95025729,아파트,28,0,3,중부대로223번길 102,우만주공1단지,38.52,경기도 수원시 팔달구 우만동,우만동,-20.43106666,중형,43.38132395
105,1988,12887,48833.33333,26.38976109,아파트,28,0,3,중부대로223번길 102,우만주공1단지,47.25,경기도 수원시 팔달구 우만동,우만동,-16.99156286,중형,43.38132395
106,1988,11761,51350,22.90360273,아파트,28,0,4,중부대로223번길 102,우만주공1단지,38.52,경기도 수원시 팔달구 우만동,우만동,-20.47772122,중형,43.38132395
107,1988,10693.91892,41100,26.01926744,아파트,28,0,5,중부대로223번길 102,우만주공1단지,38.52,경기도 수원시 팔달구 우만동,우만동,-17.36205651,중형,43.38132395
108,1988,13138.90625,55450,23.69505185,아파트,28,0,5,중부대로223번길 102,우만주공1단지,47.25,경기도 수원시 팔달구 우만동,우만동,-19.6862721,중형,43.38132395
109,1989,12160,51350,23.68062317,아파트,28,0,1,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동,우만동,-19.70070078,중형,43.38132395
110,1989,13333.33333,39500,33.75527426,아파트,28,0,1,중부대로223번길 92,우만주공2단지,45.77,경기도 수원시 팔달구 우만동,우만동,-9.62604969,중형,43.38132395
111,1989,17250,52500,32.85714286,아파트,28,0,1,중부대로223번길 92,우만주공2단지,58.01,경기도 수원시 팔달구 우만동,우만동,-10.52418109,중형,43.38132395
112,1989,16500,66650,24.75618905,아파트,28,0,1,중부대로223번길 92,우만주공2단지,59.39,경기도 수원시 팔달구 우만동,우만동,-18.6251349,중형,43.38132395
113,1989,11275,41800,26.97368421,아파트,28,0,2,중부대로223번길 54-13,우만주공2단지,45.9,경기도 수원시 팔달구 우만동,우만동,-16.40763974,중형,43.38132395
114,1989,22500,66000,34.09090909,아파트,28,0,2,중부대로223번길 54-13,우만주공2단지,66.56,경기도 수원시 팔달구 우만동,우만동,-24.30051296,대형,58.39142205
115,1989,14000,46900,29.85074627,아파트,28,0,2,중부대로223번길 92,우만주공2단지,41.3,경기도 수원시 팔달구 우만동,우만동,-13.53057768,중형,43.38132395
